name,price,category_id,restaurant_id,description,image_url,available,featured,tags,spice_level,pieces_count,preparation_time,is_vegetarian,is_vegan,is_gluten_free,dynamic_pricing,packaging_price,listing_preference
Chicken 65,130,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Chicken Mancurian Dry,130,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Sweet Chilly Chicken,130,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Pepper Chicken,130,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Platter for Three People,395,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Paneer Tikka Masala,145,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Paneer Methi,145,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Paneer Kholapuri,145,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Paneer Korma,145,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Paneer Churji,145,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Paneer Kadai,145,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Mix Veg,120,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Veg Kholapuri,120,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Veg Korma,120,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Veg Kadai,120,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Mutton Masala,165,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Mutton Dum Curry,165,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Mutton Kadai,165,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Mutton Rogan Josh,165,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Beef Curry,155,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Beef Roast,155,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Beef Kadai,155,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Egg Burji,120,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Egg Roast,120,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Fish Tava Masala,175,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Fish Curry,175,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Prawns Butter Masala,220,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Prawns Kadai,220,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Prawns Dumb Curry,220,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Butter Chicken,145,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Chicken Curry,145,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Chicken Hydrabadi,145,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Chicken Kadai,145,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Chicken Kholapuri,145,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Chicken Korma,145,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Chicken Methi Masala,145,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Chicken Mushroom Masala,145,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Chicken Punjabi,145,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Shahi Murgh Musallam,325,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Tandoori Roti,15,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Butter Tandoori Roti,18,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Naan,20,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Butter Naan,22,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Garlic Naan,25,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Kerala Parotta,30,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Dal Fry,110,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Sambar,110,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Channa Masala,115,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Dal Tadka,115,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Dal Makhni,120,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Rajma,120,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Steamed RIce,50,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Jeera Rice,60,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Curd RIce,70,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Tomato Rice,70,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Lemon RIce,70,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Ghee RIce,75,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Veg Biryani,110,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Chicken Biryani,155,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Mutton Biryani,165,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Tandoori Chicken Biryani,295,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Veg Manchurian  ,120,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Veg Hot Garlic,120,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Chicken Hot Garlic,150,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Prawn Hot Garlic,195,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Veg Sweet & Sour,120,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Chicken Sweet & Sour,150,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Prawn Sweet & Sour,195,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Veg Schezwan,120,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Chicken Schezwan,150,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Prawn Schezwan,195,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Veg Fried Rice,75,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Egg Fried Rice,75,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Chicken Fried Rice,85,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Prawn Fried Rice,110,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Veg Chilly Garlic Rice,75,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Egg Chilly Garlic Rice,75,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Chicken Chilly Garlic Rice,85,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Prawn Chilly Garlic Rice,110,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Veg Schezwan Fried Rice,75,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Egg Schezwan Fried Rice,75,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Chicken Schezwan Fried Rice,85,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Prawn Schezwan Fried Rice,110,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Veg Hakka Noodles,75,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Egg Hakka Noodles,75,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Chicken Hakka Noodles,85,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Prawn Hakka Noodles,110,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Veg Chilli Garlic Noodles,75,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Egg Chilli Garlic Noodles,75,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Chicken Chilli Garlic Noodles,85,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Prawn Chilli Garlic Noodles,110,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Veg Schezwan Noodles,75,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Egg Schezwan Noodles,75,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Chicken Schezwan Noodles,85,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Prawn Schezwan Noodles,110,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Paneer Sizzler,200,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Chicken Sizzler,200,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Prawn Sizzler,250,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Veg Thali,120,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Non-Veg Thali,160,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Green Salad,40,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Coleslaw,40,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Chicken Salad,75,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Motichur Ladoo,40,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Ice cream,40,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Payasam,40,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Hot Brownie with Ice cream,75,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Black Tea,30,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Masala Tea,35,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Black Coffee,30,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Milk Coffee,35,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Lassi,45,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Masala Chaach,45,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Lemonade,30,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Fresh Seasonal Juice,45,,,,,TRUE,FALSE,,,,,TRUE,,,,,
